Rank,title,AuthorName,Language,Price_normal,Id
3561,The Ritual,Adam Nevill,Engelsk,59.95,9780230760431
3562,Bullet That Missed,Richard Osman,Engelsk,84.95,9780241992395
3563,Stranger,Albert Camus,Engelsk,145.14,9780307827661
3564,Lord John Series 4-Book Bundle,Diana Gabaldon,Engelsk,389.95,9780345546036
3565,Malinche,Laura Esquivel,Engelsk,142.13,9780743299916
3566,Fractal Noise,Christopher Paolini,Engelsk,141.46,9781250870162
3567,In the Pines,Alice Notley,Engelsk,157.39,9781440619779
3568,Complete Danish Beginner to Intermediate Course,Bente Elsworth,Engelsk,37.19,9781473602670
3569,Bodyweight Strength Training Anatomy,Bret M. Contreras,Engelsk,296.26,9781492576259
3570,Yoga Anatomy,Amy Matthews,Engelsk,296.26,9781492596493
3571,Trust,Hernan Diaz,Engelsk,119.95,9781529074550
3572,Why We Broke Up,Daniel Handler,Engelsk,51.17,9781780311524
3573,Island in the Sky,Ernest K. Gann,Engelsk,29.95,9781839742569
3574,Et liv i almindelighed,Bent Vinn Nielsen,Dansk,49.95,9788702099911
3575,Ledelse på kanten,Uffe Elbæk,Dansk,49.95,9788702108507
3576,Liv på spil,Søren Jessen,Dansk,84.95,9788702127140
3577,Lobbyistens lommebog,Susanne Hegelund,Dansk,49.95,9788702144130
3578,7 ting vi plejer at tro på,Jesper Hoffmeyer,Dansk,49.95,9788702251579
3579,Hvor lyset falder,Mary Ellen Taylor,Dansk,129.95,9788702390537
3580,Terminaler,Aske Viuff,Dansk,79.95,9788702400083
3581,Forsker i fem verdensdele,Marie Hammer,Dansk,49.95,9788702400366
3582,Askeblomster,Patrick Modiano,Dansk,129.95,9788711329924
3583,Ledelse med social kapital,Kristian Gylling Olesen,Dansk,199.95,9788711417263
3584,Kvindens nydelse,Ylva Franzén,Dansk,99.95,9788711444634
3585,Jul på landet,Morten Korch,Dansk,69.95,9788711481820
3586,Du skal være far,Thomas Oldrup,Dansk,139.95,9788712047919
3587,Dea er en løve,Rina Dahlerup,Dansk,39.95,9788726144444
3588,Martas tema & Natmandens datter,Nikoline Werdelin,Dansk,69.95,9788726541892
3589,Oprør og alliancer - Mellemøsten efter det arabiske forår,Lars Erslev Andersen,Dansk,179.95,9788727000848
3590,Poul Reichhardt. Folkelig og helt sig selv,Carsten Borch,Dansk,69.95,9788728285251
3591,Hvad enhver far bør vide,Thomas Skov,Dansk,179.95,9788740057652
3592,Strategi i vindervirksomheder,Jørgen Lægaard,Dansk,549.95,9788740064971
3593,"Spis dig stærk, let og mæt",Anne Hjernøe,Dansk,199.95,9788740070903
3594,Ånder,Fatma Aydemir,Dansk,199.95,9788740083125
3595,Forbrydelse og Straf,Fjodor Dostojevskij,Dansk,25.0,9788740492873
3596,En tvetydighedens moral,Simone de Beauvoir,Dansk,139.95,9788741275680
3597,Åndeløs,Linwood Barclay,Dansk,159.95,9788742606278
3598,Hvis sandheden skal frem,Sara Ejersbo,Dansk,149.95,9788743403562
3599,Aldrig sige aldrig,Sara Ejersbo,Dansk,149.95,9788743403593
3600,Ledelse uden personaleansvar. 10 stærke værktøjer,Anne Birgitte Lindholm,Dansk,249.95,9788750045663
3601,Myter og mysterier #4: Ufoer og liv i rummet,Jesper W. Lindberg,Dansk,94.95,9788758831053
3602,Hulebjørnens klan,Jean M. Auel,Dansk,79.95,9788763817691
3603,Skammerens datter 1 – Skammerens datter,Lene Kaaberbøl,Dansk,79.95,9788763860130
3604,Madame Hemingway,Paula McLain,Dansk,139.95,9788771374698
3605,Elizabeth er forsvundet,Emma Healey,Dansk,64.95,9788771378245
3606,Fyrtårnets hemmeligheder,Santa Montefiore,Dansk,159.95,9788771482867
3607,Sådan får du Ole Henriksens hjerne,Ole Juncker,Dansk,149.95,9788771590142
3608,Det almene subjekt,erik schultze hansen,Dansk,45.0,9788771965063
3609,Døden,Asser Hedegård Thomsen,Dansk,49.95,9788772197357
3610,Anstalt og menneske,Erwing Goffman,Dansk,249.95,9788772300443
3611,Sandheden om havets døtre,Caroline Säfstrand,Dansk,129.95,9788775620784
3612,Bageriet i Brooklyn,Ellen Vahr,Dansk,159.95,9788775711536
3613,Rejsen til Idle Hour,Ellen Vahr,Dansk,159.95,9788775711758
3614,Det lille konditori i Paris,Julie Caplin,Dansk,209.95,9788775780136
3615,Førstesproget som ressource,A. Holmen,Dansk,54.95,9788779346390
3616,Skønhed,Dorthe Jørgensen,Dansk,129.95,9788779349407
3617,Kommentar til Markusevangeliet,Aage Pilgaard,Dansk,199.95,9788779349889
3618,Bønnebog,Den katolske Kirke i Danmark,Dansk,75.38,9788791338380
3619,Da jeg så dig,Irma Lauridsen,Dansk,139.95,9788792948519
3620,Det unikke makkerskab,Rasmus Bech,Dansk,100.0,9788793421042
3621,Flaskebarn,Katrine Quorning,Dansk,119.95,9788793867772
3622,Rejsen med Havørnen,Nicklas Larsen,Dansk,89.95,9788794289887
3623,Verdenshjertet,Viggo Bjerring,Dansk,159.95,9788794299008
3624,Kaptajnen og Ann Barbara,Ida Jessen,Dansk,159.95,9788702299823
3625,Sig at du lyver,Silvia Henriksdóttir,Dansk,179.95,9788771084016
3626,Sandheden om sukker går i køkkenet,Anette Sams,Dansk,79.95,9788702258004
